iter	Logloss
0	0.6860521317
1	0.6787560463
2	0.6697039604
3	0.662037468
4	0.6565796852
5	0.6496409416
6	0.6439491749
7	0.6384886742
8	0.6325544834
9	0.6261384487
10	0.6199914932
11	0.6142010212
12	0.6077540874
13	0.6007752419
14	0.5951668739
15	0.588709116
16	0.5812677383
17	0.5759764671
18	0.570604229
19	0.5649660587
20	0.559658289
21	0.553802681
22	0.5490058422
23	0.5440581322
24	0.5390810013
25	0.5341887951
26	0.5302876472
27	0.5255034447
28	0.5208379745
29	0.5161034584
30	0.511264801
31	0.5073522568
32	0.5040452957
33	0.5005526543
34	0.4971099854
35	0.4935557365
36	0.489828825
37	0.4862067223
38	0.4832423687
39	0.4780481815
40	0.4730974197
41	0.4682634354
42	0.4654520035
43	0.4620035648
44	0.4583424568
45	0.4545297146
46	0.4520895004
47	0.4491261005
48	0.4459457397
49	0.4425630569
50	0.4393666267
51	0.436858511
52	0.4341731071
53	0.4296777248
54	0.4270596981
55	0.4239629269
56	0.4217578888
57	0.4192148209
58	0.4166727066
59	0.4144442558
60	0.4125834465
61	0.4099820137
62	0.4074873447
63	0.403467083
64	0.4012806416
65	0.3984835386
66	0.3959930897
67	0.3923452616
68	0.390540123
69	0.3878509045
70	0.3857963324
71	0.383510685
72	0.3799361229
73	0.3777840137
74	0.3755666256
75	0.37302742
76	0.3712554216
77	0.36899786
78	0.3674909115
79	0.3660755634
80	0.3641308784
81	0.3619301796
82	0.3598325729
83	0.3583863735
84	0.3560112238
85	0.3548445702
86	0.3526082754
87	0.3503335476
88	0.3488659382
89	0.3475540638
90	0.3459929705
91	0.344285202
92	0.3426458836
93	0.3409371138
94	0.339165616
95	0.3380763531
96	0.3359073162
97	0.3347126484
98	0.3330154419
99	0.3320068836
100	0.330592823
101	0.3296087742
102	0.3283037663
103	0.3271173477
104	0.3243498087
105	0.3230282307
106	0.3216830492
107	0.320031023
108	0.3189728975
109	0.3167503119
110	0.3155193806
111	0.3133737326
112	0.3120878696
113	0.3100847006
114	0.309090519
115	0.3080472708
116	0.3068410635
117	0.3059965611
118	0.3048904181
119	0.3038969755
120	0.3019422531
121	0.3010159969
122	0.2997028112
123	0.2990300179
124	0.2972864389
125	0.2964172602
126	0.2943797827
127	0.2934709311
128	0.2923767567
129	0.2915614843
130	0.290588069
131	0.2893602848
132	0.2881603718
133	0.287336874
134	0.2864079237
135	0.2855025768
136	0.2841048717
137	0.2832224607
138	0.2823055029
139	0.2814408779
140	0.2810046673
141	0.2792247295
142	0.2783144236
143	0.2771964312
144	0.2757920742
145	0.2744580269
146	0.2738212585
147	0.2729659081
148	0.271536994
149	0.2706510067
150	0.2695365906
151	0.2686915874
152	0.2676575184
153	0.2669571638
154	0.2657576561
155	0.2647922516
156	0.2637938976
157	0.262933588
158	0.2617682934
159	0.2609570503
160	0.2599584818
161	0.2585205555
162	0.2576593876
163	0.2567916632
164	0.256314373
165	0.2556236267
166	0.2549915075
167	0.254543829
168	0.2538887262
169	0.2525460243
170	0.2518870831
171	0.2513026953
172	0.2503525734
173	0.2498970985
174	0.2493273735
175	0.2485552788
176	0.2477600098
177	0.2468063116
178	0.2460616589
179	0.2456516266
180	0.2447359562
181	0.2440670967
182	0.243221736
183	0.242791748
184	0.24184587
185	0.2412115097
186	0.2406581879
